Date : 2026-03-28 14:14:27
Directory : c:\GLAVPROJECTS\amazon-dip\frontend
Total : 121 files,  9049 codes, 219 comments, 682 blanks, all 9950 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\GLAVPROJECTS\amazon-dip\frontend\src\styles\components\CardItem.scss                            | SCSS               |         60 |          0 |         11 |         71 |
| c:\GLAVPROJECTS\amazon-dip\frontend\src\styles\components\CardList.scss                            | SCSS               |         10 |          0 |          3 |         13 |
| c:\GLAVPROJECTS\amazon-dip\frontend\src\styles\components\CatalogSlider.scss                       | SCSS               |         62 |          2 |         11 |         75 |
| c:\GLAVPROJECTS\amazon-dip\frontend\src\styles\components\Footermv.scss                            | SCSS               |        119 |          0 |         23 |        142 |
| c:\GLAVPROJECTS\amazon-dip\frontend\src\styles\components\Header.scss                              | SCSS               |         68 |          0 |         14 |         82 |
| c:\GLAVPROJECTS\amazon-dip\frontend\src\styles\components\buttons.scss                             | SCSS               |         13 |          4 |          2 |         19 |
| c:\GLAVPROJECTS\amazon-dip\frontend\src\styles\components\divider.scss                             | SCSS               |         21 |          4 |          4 |         29 |
| c:\GLAVPROJECTS\amazon-dip\frontend\src\styles\components\logo.scss                                | SCSS               |          6 |          4 |          2 |         12 |
| c:\GLAVPROJECTS\amazon-dip\frontend\src\styles\components\social.scss                              | SCSS               |         10 |          4 |          2 |         16 |
| c:\GLAVPROJECTS\amazon-dip\frontend\src\styles\master.scss                                         | SCSS               |         28 |         16 |          6 |         50 |
| c:\GLAVPROJECTS\amazon-dip\frontend\src\styles\pages\auth\auth.scss                                | SCSS               |         64 |         11 |         13 |         88 |
| c:\GLAVPROJECTS\amazon-dip\frontend\src\styles\pages\auth\logSellerAccount.scss                    | SCSS               |          0 |          0 |          1 |          1 |
| c:\GLAVPROJECTS\amazon-dip\frontend\src\styles\pages\auth\login.scss                               | SCSS               |         10 |          2 |          2 |         14 |
| c:\GLAVPROJECTS\amazon-dip\frontend\src\styles\pages\auth\regSellerAccount.scss                    | SCSS               |        150 |          6 |         19 |        175 |
| c:\GLAVPROJECTS\amazon-dip\frontend\src\styles\pages\auth\register.scss                            | SCSS               |         23 |          4 |          4 |         31 |
| c:\GLAVPROJECTS\amazon-dip\frontend\src\styles\pages\auth\reset.scss                               | SCSS               |         30 |          6 |          6 |         42 |
| c:\GLAVPROJECTS\amazon-dip\frontend\src\styles\pages\auth\resetSellerAccount.scss                  | SCSS               |          0 |          0 |          1 |          1 |
| c:\GLAVPROJECTS\amazon-dip\frontend\src\styles\pages\auth\welcome.scss                             | SCSS               |         16 |          2 |          2 |         20 |
| c:\GLAVPROJECTS\amazon-dip\frontend\src\styles\pages\user\SellerAccount.scss                       | SCSS               |        256 |         18 |         19 |        293 |
| c:\GLAVPROJECTS\amazon-dip\frontend\src\styles\pages\user\SellerAddProduct.scss                    | SCSS               |        235 |         12 |         23 |        270 |
| c:\GLAVPROJECTS\amazon-dip\frontend\src\styles\pages\user\UserProfile.scss                         | SCSS               |        139 |         16 |         14 |        169 |
| c:\GLAVPROJECTS\amazon-dip\frontend\src\styles\pages\yommingo\YommingoAboutPage.scss               | SCSS               |        179 |         15 |         21 |        215 |
| c:\GLAVPROJECTS\amazon-dip\frontend\src\styles\pages\yommingo\YommingoBasket.scss                  | SCSS               |         88 |          2 |         15 |        105 |
| c:\GLAVPROJECTS\amazon-dip\frontend\src\styles\pages\yommingo\YommingoCatalog.scss                 | SCSS               |        130 |          4 |         21 |        155 |
| c:\GLAVPROJECTS\amazon-dip\frontend\src\styles\pages\yommingo\YommingoSearch.scss                  | SCSS               |          9 |          7 |          5 |         21 |
| c:\GLAVPROJECTS\amazon-dip\frontend\src\styles\pages\yommingo\yommingoMain.scss                    | SCSS               |        227 |          2 |         44 |        273 |
| c:\GLAVPROJECTS\amazon-dip\frontend\src\styles\pages\yommingo\yommingoProductCard.scss             | SCSS               |        260 |          6 |         35 |        301 |
| c:\GLAVPROJECTS\amazon-dip\frontend\src\types\auth.ts                                              | TypeScript         |         37 |          4 |          9 |         50 |
| c:\GLAVPROJECTS\amazon-dip\frontend\src\types\product.ts                                           | TypeScript         |         63 |          4 |         12 |         79 |
| c:\GLAVPROJECTS\amazon-dip\frontend\src\types\seller.ts                                            | TypeScript         |         13 |          0 |          0 |         13 |
| c:\GLAVPROJECTS\amazon-dip\frontend\src\types\testData.ts                                          | TypeScript         |        196 |          4 |          7 |        207 |
| c:\GLAVPROJECTS\amazon-dip\frontend\src\types\user.ts                                              | TypeScript         |          7 |          0 |          2 |          9 |
| c:\GLAVPROJECTS\amazon-dip\frontend\tsconfig.app.json                                              | JSON               |         24 |          2 |          3 |         29 |
| c:\GLAVPROJECTS\amazon-dip\frontend\tsconfig.json                                                  | JSON with Comments |          7 |          0 |          1 |          8 |
| c:\GLAVPROJECTS\amazon-dip\frontend\tsconfig.node.json                                             | JSON               |         22 |          2 |          3 |         27 |
| c:\GLAVPROJECTS\amazon-dip\frontend\vite.config.ts                                                 | TypeScript         |          5 |          0 |          2 |          7 |
| Total                                                                                              |                    |      9,049 |        219 |        682 |      9,950 |
+----------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
